,ds,location,data_type,value
144,29-07-2020,India,cases_new,50294
145,28-07-2020,India,deaths_new,785
146,28-07-2020,India,recovered_new,36863
147,28-07-2020,India,cases_new,51596
148,27-07-2020,India,deaths_new,637
149,27-07-2020,India,recovered_new,33598
150,27-07-2020,India,cases_new,44457
151,26-07-2020,India,deaths_new,711
152,26-07-2020,India,recovered_new,31995
153,26-07-2020,India,cases_new,49981
154,25-07-2020,India,deaths_new,702
155,25-07-2020,India,recovered_new,36141
156,25-07-2020,India,cases_new,48611
157,24-07-2020,India,deaths_new,757
158,24-07-2020,India,recovered_new,32223
159,24-07-2020,India,cases_new,48916
160,23-07-2020,India,deaths_new,740
161,23-07-2020,India,recovered_new,34602
162,23-07-2020,India,cases_new,49310
163,22-07-2020,India,deaths_new,1129
164,22-07-2020,India,recovered_new,29557
165,22-07-2020,India,cases_new,45720
166,21-07-2020,India,deaths_new,650
167,21-07-2020,India,recovered_new,28472
168,21-07-2020,India,cases_new,37740
169,20-07-2020,India,deaths_new,585
170,20-07-2020,India,recovered_new,24491
171,20-07-2020,India,cases_new,37132
172,19-07-2020,India,deaths_new,681
173,19-07-2020,India,recovered_new,22664
174,19-07-2020,India,cases_new,40425
175,18-07-2020,India,deaths_new,543
176,18-07-2020,India,recovered_new,23672
177,18-07-2020,India,cases_new,38697
178,17-07-2020,India,deaths_new,671
179,17-07-2020,India,recovered_new,17994
180,17-07-2020,India,cases_new,35252
181,16-07-2020,India,deaths_new,688
182,16-07-2020,India,recovered_new,22989
183,16-07-2020,India,cases_new,34975
184,15-07-2020,India,deaths_new,605
185,15-07-2020,India,recovered_new,20736
186,15-07-2020,India,cases_new,32676
187,14-07-2020,India,deaths_new,582
188,14-07-2020,India,recovered_new,20572
189,14-07-2020,India,cases_new,29429
190,13-07-2020,India,deaths_new,553
191,13-07-2020,India,recovered_new,17989
192,13-07-2020,India,cases_new,28498
193,12-07-2020,India,deaths_new,501
194,12-07-2020,India,recovered_new,18853
195,12-07-2020,India,cases_new,28732
196,11-07-2020,India,deaths_new,550
197,11-07-2020,India,recovered_new,19232
198,11-07-2020,India,cases_new,28606
