"","ds","location","data_type","value"
"130",2020-08-03,"US","deaths_new",530
"131",2020-08-03,"US","recovered_new",44757
"132",2020-08-03,"US","cases_new",45368
"133",2020-08-02,"US","deaths_new",403
"134",2020-08-02,"US","recovered_new",6804
"135",2020-08-02,"US","cases_new",47580
"136",2020-08-01,"US","deaths_new",1115
"137",2020-08-01,"US","recovered_new",23725
"138",2020-08-01,"US","cases_new",58485
"139",2020-07-31,"US","deaths_new",1243
"140",2020-07-31,"US","recovered_new",24005
"141",2020-07-31,"US","cases_new",67092
"142",2020-07-30,"US","deaths_new",1209
"143",2020-07-30,"US","recovered_new",24730
"144",2020-07-30,"US","cases_new",68033
"145",2020-07-29,"US","deaths_new",1432
"146",2020-07-29,"US","cases_new",70776
"147",2020-07-29,"US","recovered_new",34062
"148",2020-07-28,"US","deaths_new",1374
"149",2020-07-28,"US","cases_new",65869
"150",2020-07-28,"US","recovered_new",29559
"151",2020-07-27,"US","deaths_new",1120
"152",2020-07-27,"US","cases_new",56414
"153",2020-07-27,"US","recovered_new",27941
"154",2020-07-26,"US","deaths_new",472
"155",2020-07-26,"US","recovered_new",18449
"156",2020-07-26,"US","cases_new",54953
"157",2020-07-25,"US","cases_new",66439
"158",2020-07-25,"US","deaths_new",899
"159",2020-07-25,"US","recovered_new",17790
"160",2020-07-24,"US","cases_new",73715
"161",2020-07-24,"US","deaths_new",1132
"162",2020-07-24,"US","recovered_new",28355
"163",2020-07-23,"US","deaths_new",1094
"164",2020-07-23,"US","cases_new",68695
"165",2020-07-23,"US","recovered_new",22420
"166",2020-07-22,"US","deaths_new",1216
"167",2020-07-22,"US","cases_new",70910
"168",2020-07-22,"US","recovered_new",28831
"169",2020-07-21,"US","deaths_new",1107
"170",2020-07-21,"US","cases_new",64534
"171",2020-07-21,"US","recovered_new",21931
"172",2020-07-20,"US","deaths_new",514
"173",2020-07-20,"US","recovered_new",28966
"174",2020-07-20,"US","cases_new",61417
"175",2020-07-19,"US","deaths_new",447
"176",2020-07-19,"US","recovered_new",8401
"177",2020-07-19,"US","cases_new",61847
"178",2020-07-18,"US","deaths_new",868
"179",2020-07-18,"US","recovered_new",15516
"180",2020-07-18,"US","cases_new",63698
"181",2020-07-17,"US","deaths_new",930
"182",2020-07-17,"US","recovered_new",16559
"183",2020-07-17,"US","cases_new",71558
"184",2020-07-16,"US","deaths_new",943
"185",2020-07-16,"US","recovered_new",14763
"186",2020-07-16,"US","cases_new",77255
"187",2020-07-15,"US","deaths_new",968
"188",2020-07-15,"US","recovered_new",26784
"189",2020-07-15,"US","cases_new",67328
"190",2020-07-14,"US","deaths_new",926
"191",2020-07-14,"US","recovered_new",17159
"192",2020-07-14,"US","cases_new",67417
"193",2020-07-13,"US","deaths_new",367
"194",2020-07-13,"US","recovered_new",25613
"195",2020-07-13,"US","cases_new",59215
"196",2020-07-12,"US","recovered_new",10750
"197",2020-07-12,"US","deaths_new",459
"198",2020-07-12,"US","cases_new",59017
"199",2020-07-11,"US","recovered_new",12391
"200",2020-07-11,"US","deaths_new",690
"201",2020-07-11,"US","cases_new",60188
"202",2020-07-10,"US","recovered_new",14074
"203",2020-07-10,"US","deaths_new",824
"204",2020-07-10,"US","cases_new",67791
"205",2020-07-09,"US","recovered_new",15649
"206",2020-07-09,"US","deaths_new",1003
"207",2020-07-09,"US","cases_new",63247
"208",2020-07-08,"US","recovered_new",16986
"209",2020-07-08,"US","deaths_new",863
"210",2020-07-08,"US","cases_new",58601
"211",2020-07-07,"US","recovered_new",12328
"212",2020-07-07,"US","deaths_new",1222
"213",2020-07-07,"US","cases_new",60021
"214",2020-07-06,"US","recovered_new",17385
"215",2020-07-06,"US","deaths_new",355
"216",2020-07-06,"US","cases_new",44953
"217",2020-07-05,"US","recovered_new",12438
"218",2020-07-05,"US","deaths_new",288
